"samplesize","efficiency","simulation","traindat.seed1","traindat.seed2","traindat.seed3","traindat.seed4","traindat.seed5","traindat.seed6","traindat.seed7","testdat.seed1","testdat.seed2","testdat.seed3","testdat.seed4","testdat.seed5","testdat.seed6","testdat.seed7"
50,"Max efficiency 0.1",1,121784412,900125681,388335959,816554509,657668208,984738849,352059293,796645428,465232329,561448988,651249238,878731096,484173008,477518086
50,"Max efficiency 0.1",2,849504498,741778470,227508216,458096665,601152427,13546970,214705619,778797421,20252546,501662510,482504337,918329821,411139756,808764744
50,"Max efficiency 0.1",3,245647863,657803190,138315247,167210269,662767439,766540614,57452744,139341836,744552741,355917396,385208098,784655071,267958681,36458687
50,"Max efficiency 0.1",4,870089204,303817005,169033912,183943092,317511834,246224733,211794621,496351729,490508457,814013211,545427351,42697589,262426262,445501542
50,"Max efficiency 0.1",5,702915743,636111468,932915626,29073800,16494011,811223610,891597940,411749849,808483165,80153702,301031715,204698180,813395565,568818752
50,"Max efficiency 0.1",6,80998206,914153328,107104042,483199271,843477170,808504592,181357374,751530648,556141926,985474895,466531173,878834927,30969001,614333658
50,"Max efficiency 0.1",7,139233493,542291526,819503436,840554860,548827933,789345686,839378407,676589243,803043437,642163860,771316714,259017823,521828194,788672742
50,"Max efficiency 0.1",8,461453474,110148772,830772884,735569958,886789904,696122804,789077878,311063506,698334384,711849503,3537834,552045360,54695490,392421121
50,"Max efficiency 0.1",9,381463829,15996250,973233104,376207171,4431879,359463105,9230791,153437208,357969962,253523734,261538724,328844415,798310916,219919490
50,"Max efficiency 0.1",10,518505613,567230261,342783664,22021918,573231557,824924475,457049468,898530277,20410564,309558307,487981443,649901312,374397165,629014257
50,"Max efficiency 0.1",11,917859695,664163666,12081043,340884011,64134403,686379906,949291329,25619601,675718490,80940400,715830697,186560367,547395929,869978646
50,"Max efficiency 0.1",12,463876966,238089484,183116267,472102075,760085280,947395668,239861138,913254279,192114583,871052687,441904489,270985549,85726308,809820109
50,"Max efficiency 0.1",13,870782695,636082960,239043382,446269232,698770977,843552952,878820796,51271451,941238144,43615442,853690799,936182887,598399818,181520110
50,"Max efficiency 0.1",14,798441346,635225686,8603743,310995827,110653242,456306520,332670509,652709108,14195008,3173666,888508173,849747493,317201060,799332443
50,"Max efficiency 0.1",15,997269144,994769581,117134032,112730242,327201082,388226233,535122778,968233978,324144746,187387909,826558609,98957220,223036721,781035078
50,"Max efficiency 0.1",16,894502995,161436995,373307340,699734503,508608228,220569952,136684357,986421273,917481525,682214184,536661482,989488055,749923937,260542164
50,"Max efficiency 0.1",17,642016221,455910953,495002469,744350348,332126945,513161541,883029831,395510768,479515889,320862831,972420223,295422576,275993380,990876177
50,"Max efficiency 0.1",18,663841599,280768094,523556662,137695201,698935353,392873968,561500798,602056654,610359261,86980027,209876635,76575457,744222782,462355954
50,"Max efficiency 0.1",19,828102395,195492875,214567894,289544062,383580705,682021537,683073268,619921479,579234809,187854630,668294367,270658177,639670199,319285695
50,"Max efficiency 0.1",20,562484927,391127139,204065377,353929687,89190194,557815195,464609292,813805379,755612350,232971533,370531129,713050930,840000618,148873834
50,"Max efficiency 0.1",21,323845262,712941394,397805316,432718509,927755301,837950125,223864297,504726831,550788808,12110435,808557873,106561936,561245089,392395835
50,"Max efficiency 0.1",22,220095266,39469580,471649834,740475314,815318782,19995678,929125162,627958734,317872483,142540268,517661109,553268229,910156576,166549838
50,"Max efficiency 0.1",23,732472626,698544842,524851856,29775955,986072360,332543607,168898337,379980588,979335259,961895426,7852944,111421703,695274107,193478411
50,"Max efficiency 0.1",24,713810549,602052150,69415549,628958272,334041975,996336793,526649661,872543231,264540275,509207431,402558988,552846841,918393751,35028936
50,"Max efficiency 0.1",25,947208621,499653694,246578307,100560101,630687831,882712836,773579383,964842922,902598299,824995889,222018664,350601534,652133365,683614298
50,"Max efficiency 0.1",26,991304884,127757584,353295001,329581663,947172372,555695342,252571701,820494870,137996610,509338554,719353735,181811019,941923327,646427981
50,"Max efficiency 0.1",27,165493906,870411026,880003838,285604525,118839724,457894734,121167,617354342,784951897,23267427,6092649,296484887,34963533,608056612
50,"Max efficiency 0.1",28,820797282,796015444,317007073,305203241,906487586,229934005,81478148,263717494,293849839,681212772,627887075,906644471,658823287,910152722
50,"Max efficiency 0.1",29,397490436,521294591,487004831,849028015,865670015,839396152,769587375,466913576,991639811,292518674,650118077,724744188,741589338,905904508
50,"Max efficiency 0.1",30,834894040,649692338,173904598,126673500,270830567,247103575,735562163,939662499,569083113,777994249,8980087,800441749,925163835,565355265
50,"Max efficiency 0.1",31,542454538,287847134,808930480,956300798,273633470,328611825,210659468,959308207,869030489,395969325,521372937,954635881,531858019,451631948
50,"Max efficiency 0.1",32,521758032,398096010,588701100,637844331,21872554,644825436,686414494,875777317,853054997,611327095,112981110,934835725,776031246,741044773
50,"Max efficiency 0.1",33,774937201,931740708,441816711,608340994,411329002,383205941,724201809,443457251,268294194,750341808,174626134,816924559,194251677,630378826
50,"Max efficiency 0.1",34,185453989,152433573,441132933,508326147,859312297,969154225,365828555,46913646,859338965,257126065,380852911,519125622,382340158,931449539
50,"Max efficiency 0.1",35,444923536,750724254,288552481,261377901,637229647,936160105,824137156,220146303,852101338,849138069,204398469,217319328,496810650,941349585
50,"Max efficiency 0.1",36,552566327,897259182,907335224,560643170,513437119,20357810,633960675,897924946,773529601,281327572,849120465,354460519,157201292,604355838
50,"Max efficiency 0.1",37,55551571,349003539,233551650,585223317,931278570,562218734,820465775,338884506,153719681,639653197,237026700,149302185,74926838,607028636
50,"Max efficiency 0.1",38,290385677,175046457,537411018,278983891,849205273,724013360,208356422,194309245,134661391,439879032,969908823,717070642,309213876,499363377
50,"Max efficiency 0.1",39,506940706,99792153,581541388,437586816,222633611,981137033,897766731,439578460,186776272,247669556,198111761,554170738,159956863,619025572
50,"Max efficiency 0.1",40,474125814,319098946,607319259,505975164,853342002,996480366,646512600,580930156,864690441,777420133,772039861,957103286,30856715,130806260
50,"Max efficiency 0.1",41,504497062,804593952,620552754,197460513,657520141,230649644,397818342,670150842,876706617,498768599,192153715,965618837,132168652,477330918
50,"Max efficiency 0.1",42,747438661,17967598,767511554,266865012,868454552,550863726,314351344,369761839,332783595,768538846,941784179,114810262,395795536,958339568
50,"Max efficiency 0.1",43,628339803,789681658,791717733,587847690,750100129,110432729,29239454,726824718,83180564,192934568,91697024,676578149,735999720,296764994
50,"Max efficiency 0.1",44,905252677,143094170,327225172,857966342,718718068,702990194,646324595,921772012,498117392,877847568,206472769,551666327,188393834,604462967
50,"Max efficiency 0.1",45,915299668,639079490,597194637,745507730,344146804,995353152,890473484,169573051,687554612,851307644,259944751,762278141,29489783,6645995
50,"Max efficiency 0.1",46,68808903,507041974,801634495,980287308,752229699,318089237,146707785,89419951,436405204,769725059,650701620,218221054,282624657,538041775
50,"Max efficiency 0.1",47,693693912,425808596,544728566,19770192,775779826,237581980,416054338,146193678,741119648,342944143,847299384,724510676,670720420,512681356
50,"Max efficiency 0.1",48,15579641,924454855,948835949,701242778,475981052,554659822,685415408,575189441,274136557,800948358,472059331,19500829,424805174,461122239
50,"Max efficiency 0.1",49,615831539,895910169,687241249,261209950,640958354,92682069,822465314,997224696,829502989,696628356,344457217,73383727,495271641,773705052
50,"Max efficiency 0.1",50,361092793,681150125,342351782,671912568,718017354,603363236,327192598,78725002,288807048,760086740,982995866,934711966,624663645,970041467
50,"Max efficiency 0.1",51,88723120,820409863,77783621,80352446,461099123,664099402,956464615,551687319,694037790,263681698,220451548,775646228,194948019,374785419
50,"Max efficiency 0.1",52,584584059,986776798,479492172,237705145,824091651,852984990,71287077,754639014,132805410,203238684,42509023,785804826,460421685,594491982
50,"Max efficiency 0.1",53,466984075,957349449,420571566,976577464,859338892,522486307,481730417,839283794,800650711,193074625,328923823,278146174,339415616,410815057
50,"Max efficiency 0.1",54,330548692,493907601,224075450,180991554,981564313,76348872,805219308,700210422,624549226,724730508,660419043,320931830,35391930,364527254
50,"Max efficiency 0.1",55,821218908,107736737,718680901,559602160,458375340,46667692,541361631,338288194,212269115,693825565,242316718,978357552,105963897,949396025
50,"Max efficiency 0.1",56,105694310,379965607,683096271,338577293,710680215,704180887,596526828,400097938,566443858,553337746,236535606,886613231,54213695,642554045
50,"Max efficiency 0.1",57,677311018,685293590,937200920,763438025,417890704,376584433,890660975,293385910,646216105,679510806,308835362,302489813,348559217,754275284
50,"Max efficiency 0.1",58,855028403,267478964,664050674,164638371,214275504,535743401,858766156,9511387,928840643,355941293,453834074,303288154,824639456,452933207
50,"Max efficiency 0.1",59,32940755,431891935,181696126,77599683,115261941,256025073,695308782,968843190,799334480,118558791,640589740,6332111,557398009,505113544
50,"Max efficiency 0.1",60,333380478,122110244,972852071,743807985,697460065,624443878,439443006,531479966,284122278,272384475,122666210,909123659,570040773,710727365
50,"Max efficiency 0.1",61,938425435,893444382,36843709,697125301,567569926,483755065,404325462,56555204,115717022,222182028,233620235,415307404,723507960,676980939
50,"Max efficiency 0.1",62,263403945,768734765,757283218,56593110,279671183,617368725,271282974,960659369,730166983,975425790,601345378,534839970,290443753,449240889
50,"Max efficiency 0.1",63,786360907,340634381,725508517,569879758,642318198,209353292,153756188,816072571,925148661,496126414,148755621,110933806,128674876,11836114
50,"Max efficiency 0.1",64,6484368,609531974,57136882,954878709,164903487,30086151,969779797,655236954,659193601,410254475,819589759,398329884,838672829,830645966
50,"Max efficiency 0.1",65,710481768,565937639,795969954,233343876,953584402,842735574,388822900,795958415,950896415,412340129,995709956,62197916,720317154,797627309
50,"Max efficiency 0.1",66,74436149,2673446,393241142,626280824,226534546,894685612,728199956,241705501,412154804,19518922,343376741,726195489,846710866,305043646
50,"Max efficiency 0.1",67,328728339,693413223,385450508,414062232,41187754,556807159,165118046,63004087,663889883,791586796,184417460,457205986,237083437,735910947
50,"Max efficiency 0.1",68,627371887,757826061,426513859,771399134,961361625,628690044,945930726,344174916,841184198,903007197,163842471,79696196,659964251,868579472
50,"Max efficiency 0.1",69,137454035,890853606,164376993,28567244,165220689,534083272,610250998,959884029,77215156,782028939,636857961,994972407,460798114,473011362
50,"Max efficiency 0.1",70,723442106,906719169,761526588,465377371,556845416,862219928,304120233,457329274,658017823,608474387,731351983,178652594,325512887,436662028
50,"Max efficiency 0.1",71,743911546,724017963,744328273,128903054,377976017,280887861,600103399,391744529,633405474,666898205,265263171,721302584,127755012,812063399
50,"Max efficiency 0.1",72,459232972,669587422,426126771,506820381,992523536,568235274,688129428,464891429,702543325,959878044,375587476,356988394,493667283,487350674
50,"Max efficiency 0.1",73,405255549,583915736,203095825,465647621,774336299,546771484,154064986,670922391,224938568,989741971,602013804,165376991,469112227,414873480
50,"Max efficiency 0.1",74,669525399,435733875,615163468,457049306,792539333,365751920,716301242,321697192,116859523,119109729,118066851,235447114,717994537,657062519
50,"Max efficiency 0.1",75,807756217,293801194,465224125,226143349,732304822,758890493,891303465,137042958,171097135,19128117,204746128,105331168,85363527,619773555
50,"Max efficiency 0.1",76,803078904,572081574,569850260,752616726,968214891,820040495,838067404,292167310,189132115,364431506,51018164,301724977,191490909,308354347
50,"Max efficiency 0.1",77,884675979,15569205,779692555,838434861,627479323,731981298,567254483,823280548,960523297,353317022,703459357,549641939,472824315,124119808
50,"Max efficiency 0.1",78,526198351,986787926,348638188,446970095,896176001,947121826,236252035,493514993,396822147,630853248,569079527,549660544,540900008,941797440
50,"Max efficiency 0.1",79,450212350,812360360,411436567,304865567,672768461,299998958,615049395,922465709,666863704,764042570,813927255,756966602,54087001,850975764
50,"Max efficiency 0.1",80,620005788,102134490,815241185,990054535,116005103,586650943,243965081,993294605,544149182,987014076,177182193,204172518,263235689,750383258
50,"Max efficiency 0.1",81,300113703,563822178,696010184,736039737,177743157,978201611,644875492,620638916,49974220,419081920,131496533,913191911,901681285,888181253
50,"Max efficiency 0.1",82,36927032,112218707,720979733,598687827,260253317,689974550,334982781,661002899,622764078,585462767,602338385,327101895,447615109,135942889
50,"Max efficiency 0.1",83,47835486,880865641,589236808,569894371,870092345,386692142,77205261,124312691,977867007,313005551,940022716,49206089,780436006,509797364
50,"Max efficiency 0.1",84,229464221,731046863,377032465,748281883,283558464,802281306,537452097,79787647,874347726,422676807,954066420,666282151,112151734,547710586
50,"Max efficiency 0.1",85,327487627,247903055,792251320,905990613,6702006,528396896,502388221,852015376,985829111,615046798,577905672,200059653,739330489,747358676
50,"Max efficiency 0.1",86,777998430,701434563,585096161,611501717,439235350,453554697,366182301,542479003,712312331,517597225,567641509,945249436,986082805,320175454
50,"Max efficiency 0.1",87,902988911,776470384,92308542,947169209,434506106,20891157,174038505,891115392,974935850,846629740,273003850,247599678,549382441,805311868
50,"Max efficiency 0.1",88,664753877,744246193,322566473,581670509,667695272,575297134,686320796,312764612,308410744,566920876,478222312,594819380,585673926,910616404
50,"Max efficiency 0.1",89,670232533,19183824,574982401,562902512,525615067,939283685,258866664,847065391,598870167,588688660,554371609,75365492,900756772,882729744
50,"Max efficiency 0.1",90,507404371,589925240,164380443,854147099,617297426,234548017,804481698,815212118,672112236,884776844,654161423,995332673,795298276,525921546
50,"Max efficiency 0.1",91,238564137,928064528,393161593,620760063,77750915,922008643,632326926,488591918,210264723,260394238,596413819,755177617,947449455,453753775
50,"Max efficiency 0.1",92,364551676,454291694,53167870,449097360,328951771,647493703,731818653,470333580,188274024,826152610,327182114,234727351,373137369,627168778
50,"Max efficiency 0.1",93,316966676,294548086,614001552,658986452,382861257,67205167,144382362,867522048,871187478,467968581,955257667,101904517,917421735,266186815
50,"Max efficiency 0.1",94,70157254,455396420,101822190,73867473,53366549,466167136,740858502,204148831,514522715,989416794,475763748,418956173,677059235,542565844
50,"Max efficiency 0.1",95,308819024,422550759,344030930,938309394,255514618,351596041,322831181,82714756,101565490,170473615,687324029,635039519,384667463,300513769
50,"Max efficiency 0.1",96,60553389,153768871,357206754,195260004,274183501,575623428,520536614,114035981,561535360,976129200,378752731,809560300,515030734,226738227
50,"Max efficiency 0.1",97,499608255,730905431,612075899,325737818,114751539,796346150,66289445,417078059,494469539,27753600,888773302,18298756,982172208,853672423
50,"Max efficiency 0.1",98,370989700,971657620,75349209,470527230,977475076,283900879,475846812,253090477,958044062,517733003,971986523,184184613,23186282,402345575
50,"Max efficiency 0.1",99,320688955,11362318,834436419,740926163,434524579,20865703,565561296,790632023,157189189,525412759,754578849,564180349,416331266,843377161
50,"Max efficiency 0.1",100,637435642,663570139,897625697,650206174,834797504,47286889,262750186,687713833,537036657,888257563,328670119,151623153,211604724,536523010
50,"Max efficiency 0.1",101,356903596,741898194,545361125,456733332,379647055,124075255,28122453,277686399,56110204,472689010,413609188,786943328,261589071,499429184
50,"Max efficiency 0.1",102,91382092,845134082,235931702,107879544,456798363,901615732,637285470,115640220,710618050,790121660,184719306,694217684,231170229,22691464
50,"Max efficiency 0.1",103,133746079,151853298,929420540,832979663,804325898,920719741,2505815,4264650,835460121,536910978,607143250,9408613,571399517,860710709
50,"Max efficiency 0.1",104,140898071,53517771,522597995,362694975,286323931,701724294,846849546,435861898,750881445,312885008,791893054,236032398,847928883,623999440
50,"Max efficiency 0.1",105,275218562,622446632,584984144,749362116,335627852,463562412,396360346,213682009,933021403,534854144,186101031,225312045,134475599,707503607
50,"Max efficiency 0.1",106,367191919,452051781,760445713,932594809,325817919,777989507,619101099,978620808,421257112,809600422,110208912,130250406,309609905,888984550
50,"Max efficiency 0.1",107,29239201,429151673,478226821,624443362,446914003,307861818,733790491,326524338,57556052,168286699,442236639,650158855,995275216,398147898
50,"Max efficiency 0.1",108,617922933,189560522,422127119,920519096,873691651,879275364,135243335,922296715,401559272,619088990,471659318,311372092,580491799,175020888
50,"Max efficiency 0.1",109,475576990,884318327,81918523,721994115,776771488,693391501,758550118,419980146,113563929,558839163,295506574,993070345,552890889,31158719
50,"Max efficiency 0.1",110,28512866,239953809,693140837,94981421,590287464,850522585,199335409,980931695,675429524,148267280,26587592,396311840,532920,195095587
50,"Max efficiency 0.1",111,767283076,686212623,303402043,838409805,360527286,253648184,322675147,929075283,743227053,998124524,848133003,364342859,40687298,474860081
50,"Max efficiency 0.1",112,364743276,938202033,735707778,982425207,970254134,999566775,776409748,765657289,918312277,480617724,534214,429484135,491344228,771558925
50,"Max efficiency 0.1",113,987561212,700788917,132421676,105412287,602136645,832366522,984439666,729554286,253891775,96333375,435689593,939633175,203186392,54171395
50,"Max efficiency 0.1",114,818459685,565904425,438458952,752696909,960860183,441796563,309716528,965582966,922217665,181081606,322912976,350954310,212748262,509605864
50,"Max efficiency 0.1",115,343721799,614081331,636645993,428994882,973727872,954230218,459383582,607150529,936858560,106498014,95116260,466899821,261632313,262241203
50,"Max efficiency 0.1",116,544927163,713890449,708164449,353393705,467101370,757489244,236081405,140679953,101256490,352246688,527854376,560528419,138438195,28514310
